Compressor,Min Time,Max Time,Mean Time,Std Time
gzip,0.18407260000822134,0.3750538000022061,0.19822558225324416,0.010008934830655285
zlib,0.18510699999751523,0.4442141999898013,0.19539779348683078,0.00608326274144196
bz2,0.43073669998557307,0.8348911000066437,0.4502960452399566,0.011764306858080269
